inn_0bd0eesafopj,市场数据分析实习生,100,150,固特异,上海,3,"['\n\t职责简述\n', '\n\t1. Assist to consolidate the data provided by each\nmarket&semi;\n', '\n\t2. Market Opportunity Analyst\n', '\n\t3. Assist to do the pre-work for monthly report&semi;\n', '\n\t4. Assist to collect the useful market information by\navailable source, including internal and external, according to the request&semi;\n', '\n\t5. Consumer care program Daily Operation\n', '\n\t\xa0\n', '\n\t岗位要求：\n', '\n\t1. Familiar with Microsoft Office, including Excel (pivot\ntable), PowerPoint and Word&semi;\n', '\n\t2. With English reading and writing skill&semi;\n', '\n\t3. Good communication skill&semi;\n', '\n\t4. 3-4 days per week&semi;\n', '\n\t\xa0\n', '\n\t本科及以上学历，硕士学历优先，专业不限\n', '\n\t至少每周工作3天，可连续实习3-4个月以上\n', '\n\t熟练操作office办公软件，尤其是excel', ' \n', '\n\t\xa0\n', '\n\t薪资待遇：\n', '\n\t工资：本科100/天 研究生130/天\n', '\n\t\xa0\n', '\n\t工作地点：\n', '\n\t徐汇区长乐路989', '29F,7', '8', '5', ' \n', '\n\t\xa0\n', '\n\t\xa0\n', '\n\t固特异轮胎\n', '\n\t固特异轮胎橡胶公司成立于1898', '6.9', '22', '50', ' - ', ' \n']",本科
inn_risqdzuap9jy,数据分析实习生,100,150,新浪微博,北京,4,"['\n\t工作职责', '\n1、协助分析师进行市场&用户数据的分析与整理，并将分析出的数据整理到PPT上，能以报告的形式展示出来；', '\n2、负责业务监控数据收集，定期对数据库数据进行维护更新；', '\n3、其他临时性数据分析相关工作。', '\n', '\n岗位要求', '\n1、硕士及以上学历，计算机专业优先，统计学、数学或数据分析、信息处理相关专业；', '\n2、有sql语言基础，了解mysql数据库环境；熟悉hive以及python/C至少一门编译环境&semi;', '\n了解并掌握机器学习算法原理及应用场景', '\n3、熟练使用PPT、EXCEL等办公软件，熟练应用各类函数、数据透视表/图；', '\n4、每周至少实习4天、实习期不少于6个月；', '\n5、2021年毕业的优先。\n']",硕士
inn_sllyks1jmfcf,数据集成分析,80,100,西南财经大学家庭金融中心,成都,5,"[' ', '1、不限专业、经验。', '2、本科在读学历及以上', '3、暑期每周能到岗4天及以上', '4、工作耐心、细致、负责。', '5、能熟练使用word、excel等办公软件。', '6、2019年7-8月暑期工作，可连续工作到年底的优先考虑。', '工作内容：', '1、负责网上搜集相关数据。', '2、将网上搜集数据整理成面板数据。', '3、其他中心临时性工作。', '工作待遇：', '100元/天', '80元/天']",本科
inn_icni69upgrhc,数据分析（Python）实习生,150,200,指南者教育,常州,4,"['\n\t', '\n', '\n\t', ' \n', '\n\t', '\n', '\n', '\n', '\n', ' \n', '\n\t', ' \n', '\n\t', '\n', '\n\t', ' \n', '\n\t1', ' \n', '\n\t', ' \n', '\n\t', '\n', '\n\t工作地点：常州\n']",硕士
inn_lbdkgnbsefll,数据挖掘及分析,0,0,亚信科技,重庆,5,"['\n\t数据提取；\n', '\n\t', '；\n', '\n\t其他数据运营工作。\n', '\n\t结构化思维能力强；\n', '\n\t熟练应用SQL；\n', '\n\t熟练应用spss、excel、PPT等工具；\n', '\n\t心态平和、易沟通；\n', '\n\t硕士研究生优先。\n']",不限
inn_70oxp3qrv9z2,业务数据分析师,400,800,木核科技,深圳,5,"['\n\t岗位职责：\n', '\n\t1. ', ' \n', '\n\t2. ', ' \n', '\n\t3. ', ' \n', '\n\t4. ', ' \n', '\n\t', '数据分析领域为文娱领域，所以需要对文娱有浓厚兴趣与了解，尤其对直播、短视频行业有了解。\n', '\n\t任职资格：\n', '\n\t1. ', '；\n', '\n\t2. 半年-1', ' \n', '\n\t3. ', ' \n', '\n\t4. ', ' \n', '\n\t5. ', ' \n']",本科
inn_ne3my6od0igo,数据分析实习生,0,50,触电传媒,广州,3,[],本科
inn_kibdqxpi2d8u,数据分析实习生,100,200,凡普金科,北京,3,[],本科
inn_bzdz1j9o5o7a,数据分析工程师,200,250,铸保,北京,4,[],硕士
inn_nmwp42ghe4ow,数据分析实习生,150,180,环球雅思,北京,5,"['主要职责', '1、负责数据录入、资源分配及统计工作', '2、负责各类日报、周报表的制作工作', '3、协调各校区的资源平衡问题', '4、处理部分业绩审核工作', '5、完成领导布置的其他工作', '任职资格：', '1、本科或者研究生应届毕业生，表现优秀者可转正；或者准备读研、出国留学者；要求能从现在至少实习到明年5-6月份。']",本科
inn_kbucpcz4ekbp,数据分析工程师实习生,100,150,宽投资产,上海,4,[],本科
inn_lbtpwddcvjv0,数据分析师（校招&实习）,0,0,映客直播,北京,5,"['\n\t工作职责：\n', '\n\t', '\n', '\n\t1、维护并优化用户留存日常数据监控体系、负责相应日报、周报等数据报表\n', '\n\t2、通过数据了解直播业务和用户，分析直播用户增长和留存，建立用户增长和留存模型\n', '\n\t任职要求：\n', '\n\t', '\n', '\n\t1、统招硕士学历（985，211院校可放宽到本科）及以上，计算机、数学、统计学、物理、生物相关专业优先\n', '\n\t2、熟练使用hive SQL和Excel，会使用一定程度的tableau可视化\n', '\n\t3、能够迅速理解业务，发觉业务细节和数据之间的联系\n', '\n\t4、逻辑思维强，擅长分析和解决问题，能够透过现象看本质，抓住核心痛点\n']",不限
inn_o4ykrhmucker,数据分析统筹岗,250,300,北京链家,北京,6,[],本科
inn_3hopetuvznxk,KOL数据分析（CEO亲自培养）,200,250,萌牙,宁波,5,"['\n\t宁波萌牙电子商务有限公司从', '年创办初始，始终坚持打造高质量团队。目前', '以上的员工均是重点高校毕业，有较强的学习能力，钻研精神，在大家的团结奋斗下', '年预计全年营业额达', '；发展劲头已吸引多方风投关注及接洽。', '\n', '\n\t\xa0\n', '\n\t', '偏商务分析方向，大数据涉及不多，社交媒体分析为主', '\n', '\n\t', '做好新媒体广告投放的风险控制，帮助业务人员实现业绩目标', '\n', '\n\t', '公司发展迅速，团队扩张', '\n', '\n\t\xa0\n', '\n\t', '\n', '\n\t1、帮助业务人员进行合作达人的质量评估和风险预测，对数据负责，为业务做支撑；', '\n', '\n\t2、与小红书、微博等平台上优质的达人合作，进行萌牙家品牌和产品推广，扩大品牌知名度；', '\n', '\n\t3、定期对投放的笔记进行分析，总结经验教训，为今后合作积累经验；', '\n', '\n\t4、关注微博、公众号、小红书等平台的动态，分析平台和推文、视频特点，并及时调整营销方案。', '\n', '\n\t\xa0\n', '\n\t', '：', '\n', '\n\t1、', '学历，微博、', '站、公众号资深用户优先；', '\n', '\n\t2、具有非常强的学习能力和自我提升意愿，能够做到每月', '本书以上的阅读量；', '\n', '\n\t3、对自己严格要求，强烈希望可以在工作上有所建树，敢拼敢做，并愿意为此调整个人工作与休息时间。', '\n', '\n\t\xa0\n', '\n\t萌牙可以为你提供：', '\n', '\n\t', '、有竞争力的薪酬体系！我们正不断创造更高薪资的可能性！优厚的待遇：基本工资', '餐补（', '）', '全勤（', '）', '提成', '奖金', '五险一金', '节假日红包', '生日福利', '员工旅游', '部门活动！我们崇尚梯度工资，提供多次调薪机会，你的付出一定和你的收获成正比！', '\n', '\n\t', '、广阔的发展空间！优先考虑内部晋升，你的舞台足够大！', '\n', '\n\t', '、有趣、有挑战性的工作内容！初创型企业，期待你从', '到', '，从', '到', '的创造力！我们反对一成不变、枯燥死循环的工作模式，只要你敢想敢做勇于奋斗，你施展的平台无限广！', '\n', '\n\t', '、轻松愉悦的工作氛围！', '后团队，扁平管理，弹性工作，自由办公，可以让你轻松融入，给你温暖，教你技能，伴你成长！', '\n', '\n\t', '、看不完的书！每月不限量购书，帮助你提升知识面，进一步提高工作能力。公司分学习小组，让你在学习路上不孤单，也享受学习竞赛带来的乐趣！', '\n', '\n\t', '、培训体系！虽然还不够完善，但一直在不断完善，只为你能够有更高的工作效率', '也会为你提供良好的职业规划建议！', '\n', '\n\t', '、冰箱、微波炉、吧台，全天开放的餐厅；花茶、咖啡、零食，豪华丰盛的下午茶，还有阳光房和运动器材！希望给你紧张的工作带来一些帮助！', '\n', '\n\t', '、其他：双休、带薪年假、节假日福利（不限法定）、生日惊喜、团建活动、业绩奖励、就业补贴等，还有积分兑换的福利库：旅行基金、话剧门票', '应有尽有！', '\n', '\n\t', '、股权期权！在萌牙，每个人都有可能拿到的期权，当前公司的员工持股占比高达', '！', '\n', '\n\t', '、租房补贴！对于非宁波市常住人口的实习生，公司酌情补助', '元', '月。', '\n', '\n\t\xa0\n', '\n\t我们欢迎能够和我们有共同信念的你加入，迎接挑战以及分享成长过程中的快乐以及痛苦！\n']",本科
