title,link,salary,company,com_type,area,post_time,exp_level,edu_level,job_type
Foreign English Teacher,http://jobleadchina.com/job/2135,10K/MTH - 15K/MTH,KaiYue English School,School,Others,"Post time: June 19, 2018",Experience: Entry Level,Bachelor,Full-time
Native English Teaching (NET) Opportunity in Guang,http://jobleadchina.com/job/1888,13K/MTH - 18K/MTH,Engoton Education Group,School,Guangzhou,"Post time: June 19, 2018",Experience: Entry Level,Any education,Full-time
Training school English teachers,http://jobleadchina.com/job/2118,15000K/MTH - 20000K/MTH,Relevant,Outsourcing,Chengdu,"Post time: June 14, 2018",Experience: Associate,Bachelor,Full-time
Training school English teachers,http://jobleadchina.com/job/2117,14000K/MTH - 14000K/MTH,Relevant,Outsourcing,Chengdu,"Post time: June 14, 2018",Experience: Associate,Bachelor,Full-time
Primary school English teachers,http://jobleadchina.com/job/2116,14000K/MTH - 15500K/MTH,Relevant,Outsourcing,Chengdu,"Post time: June 14, 2018",Experience: Associate,Bachelor,Full-time
International kindergarten English teachers,http://jobleadchina.com/job/2115,15000K/MTH - 18000K/MTH,Relevant,Outsourcing,Chengdu,"Post time: June 14, 2018",Experience: Associate,Bachelor,Full-time
Foreign Teacher(外教),http://jobleadchina.com/job/2114,12000K/MTH - 24000K/MTH,Global Education（环球雅思）,Teaching Center,Guangzhou,"Post time: June 14, 2018",Experience: Associate,Bachelor,Full-time
Kindergarten English teeachers,http://jobleadchina.com/job/2113,12000K/MTH - 12000K/MTH,Relevant,Outsourcing,Chengdu,"Post time: June 14, 2018",Experience: Associate,Bachelor,Full-time
Training school English teachers,http://jobleadchina.com/job/2112,12000K/MTH - 15000K/MTH,Relevant,Outsourcing,Chengdu,"Post time: June 14, 2018",Experience: Associate,Bachelor,Full-time
Training school English teachers,http://jobleadchina.com/job/2111,11000K/MTH - 14000K/MTH,Relevant,Outsourcing,Chengdu,"Post time: June 14, 2018",Experience: Associate,Bachelor,Full-time
Junior Speech & Drama Teacher,http://jobleadchina.com/job/2093,16000K/MTH - 20000K/MTH,New Pathway,Teaching Center,Shanghai,"Post time: June 11, 2018",Experience: Entry Level,Bachelor,Full-time
Junior Speech & Drama Teacher,http://jobleadchina.com/job/2092,16000K/MTH - 20000K/MTH,New Pathway,Teaching Center,Shenzhen,"Post time: June 11, 2018",Experience: Entry Level,Bachelor,Full-time
ELA English Language Arts Teacher,http://jobleadchina.com/job/2091,16000K/MTH - 20000K/MTH,New Pathway,Teaching Center,Shanghai,"Post time: June 11, 2018",Experience: Entry Level,Bachelor,Full-time
SAT Teacher,http://jobleadchina.com/job/2090,16000K/MTH - 20000K/MTH,New Pathway,Teaching Center,Shanghai,"Post time: June 11, 2018",Experience: Entry Level,Bachelor,Full-time
Head Teacher (Junior Speech & Drama Teaching) ,http://jobleadchina.com/job/2089,20000K/MTH - 25000K/MTH,New Pathway,Teaching Center,Shenzhen,"Post time: June 11, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
TEFL/ESL Teaching Position with EF Ningbo,http://jobleadchina.com/job/2088,10K/MTH - 11K/MTH,NINGBO ZHEWAI HUMAN RESOURCES SERVICE CO.,Others,Ningbo,"Post time: June 11, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2073,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: June 07, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2072,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: June 07, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2071,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: June 07, 2018",Experience: Entry Level,Bachelor,Full-time
English Teacher,http://jobleadchina.com/job/2068,14K/MTH - 16K/MTH,Spirit Kids Royal English,Teaching Center,Others,"Post time: June 07, 2018",Experience: Associate,Any education,Full-time
English teacher,http://jobleadchina.com/job/2067,14K/MTH - 20K/MTH,Spirit Kids Royal English,Teaching Center,Guangzhou,"Post time: June 07, 2018",Experience: Mid-Senior Level,Any education,Full-time
High School ESL Teacher ,http://jobleadchina.com/job/2065,15K/MTH - 18K/MTH,Cernet Education,School,Shenzhen,"Post time: June 06, 2018",Experience: Associate,Bachelor,Full-time
Junior Speech & Drama Teaching ,http://jobleadchina.com/job/2064,16000K/MTH - 25000K/MTH,New Pathway,Teaching Center,Shenzhen,"Post time: June 05, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
Academic Teacher,http://jobleadchina.com/job/2063,16000K/MTH - 25000K/MTH,New Pathway,Teaching Center,Shanghai,"Post time: June 05, 2018",Experience: Mid-Senior Level,Bachelor,Full-time
"Primay school in Qingdao, weekends off",http://jobleadchina.com/job/2040,15000K/MTH - 18000K/MTH,First Stop Professionals ,School,Qingdao,"Post time: June 01, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2039,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: June 01, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2038,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: June 01, 2018",Experience: Entry Level,Bachelor,Full-time
Beijing International Kindergarten / Preschool Eng,http://jobleadchina.com/job/2037,18K/MTH - 25K/MTH,LCAIS,School,Beijing,"Post time: June 01, 2018",Experience: Entry Level,Bachelor,Full-time
